oil_consumption_per_capita_tonnes_per_year,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Algeria,0.1081103568,0.1384317538,0.1255107424,0.1299297005,0.1330692639,0.1478228323,0.1615147486,0.172184009,0.1819646885,0.1955664267,0.210885184,0.2344961143,0.257789158,0.2565141895,0.2977127531,0.2907310693,0.302894346,0.3107638032,0.3376717564,0.3620573254,0.3604802506,0.3550221326,0.3486552753,0.3398343857,0.3467230958,0.3619089344,0.3497417719,0.3431361788,0.3341565113,0.3124202058,0.2980744349,0.2799889047,0.2730917712,0.2769119342,0.2694440781,0.2783142775,0.283872547,0.3099054483,0.3175462443,0.3271386683,0.3356618003,0.3449783142,0.3805912152,0.407019827,0.4263212698,0.4200945252
Brazil,0.1763026342,0.1869829887,0.1881591119,0.2203514252,0.2358847128,0.2621220499,0.2839817136,0.3188355649,0.3855391286,0.4066041617,0.4107357254,0.4322901903,0.4342230526,0.4668739456,0.4849784233,0.463188872,0.432233861,0.4294270511,0.4082320898,0.4082870129,0.4107571025,0.444831306,0.4462699746,0.4493660039,0.4488384514,0.4293817745,0.4278562888,0.4400883939,0.4400619929,0.4539214778,0.470215862,0.4946781333,0.5203412352,0.5313844105,0.5381662663,0.5251596516,0.5251695561,0.5110506194,0.483375123,0.4805790019,0.484690306,0.4938506756,0.5257434887,0.5499865652,0.5536966499,0.5996517885
China,0.01543031063,0.01934301748,0.01859087161,0.01974881313,0.02571850936,0.03460619891,0.04594518483,0.05149777613,0.06128849793,0.06895981906,0.07458682562,0.08383609356,0.08722100055,0.09529189113,0.09390017699,0.08681199059,0.08140728506,0.07930536205,0.07978320189,0.08133330065,0.0850035651,0.08909732677,0.09296962963,0.09801239029,0.1009857719,0.0985386566,0.1049681695,0.1126340923,0.1226403039,0.1232719246,0.1319495608,0.1417462857,0.1583770422,0.1577604654,0.1664214628,0.1762091652,0.1783287842,0.1923979298,0.2100778591,0.245178176,0.2506949086,0.2632741481,0.2745361786,0.282855321,0.2908063779,0.319532369
Germany,1.135726669,1.260764368,1.299196977,1.4503027,1.622449476,1.77498101,1.837273153,1.938078694,2.063056352,1.868240603,1.812769141,1.958516451,1.939824635,2.013560352,2.080539225,1.881717687,1.708146382,1.615743341,1.582530029,1.576469845,1.626288258,1.713256726,1.66061509,1.653075824,1.546452805,1.609103248,1.671548262,1.673305994,1.684462364,1.658208213,1.649529136,1.670990798,1.657458986,1.658654832,1.607888217,1.575974905,1.597259069,1.545891884,1.516995194,1.50238094,1.482879866,1.496944284,1.363257976,1.43432084,1.38219156,1.398500033
India,0.02546734543,0.02785559203,0.02811696941,0.03080477003,0.03618538402,0.03521559767,0.03613332125,0.03809639934,0.03928046121,0.03758023887,0.0375295361,0.03860798407,0.04049338956,0.04299483488,0.04533694284,0.04518621791,0.04750358374,0.04828877389,0.04962844748,0.05205522573,0.05523710095,0.05676690665,0.05732495367,0.06151369232,0.06521037799,0.06631261736,0.06604140341,0.06820944524,0.06750726284,0.07120234607,0.07800215617,0.08250138088,0.08645474537,0.09084891667,0.09679339921,0.1007184654,0.09983812716,0.1021976718,0.1022402234,0.1069937153,0.1048872841,0.1040648141,0.1094796476,0.1133723386,0.1250268674,0.1269787524
Japan,0.9027994302,1.015148947,1.232550823,1.412652003,1.651436126,1.920204888,2.089182467,2.198109173,2.48934232,2.364851829,2.202131631,2.263207907,2.302762485,2.302923127,2.305382771,2.050464907,1.916858527,1.76550827,1.747631189,1.826620468,1.719643798,1.729426494,1.729258065,1.850278731,1.91159329,2.0262924,2.054754147,2.090606291,2.037418436,2.155043387,2.149498216,2.153731259,2.118780089,2.023606634,2.049794721,2.031956173,1.966230077,1.932263842,1.972527897,1.909324694,1.931430904,1.877801053,1.812484758,1.752730997,1.570109229,1.593223489
Russia,,,,,,,,,,,,,,,,,,,,,1.70216104,1.711179105,1.713906012,1.690053359,1.712836172,1.684397618,1.637147761,1.507074617,1.266234464,1.092926906,0.9826589941,0.8763482341,0.8714772019,0.8372295019,0.8568321357,0.841660465,0.8367442692,0.8486826816,0.851557155,0.8545673902,0.8472612312,0.8854997265,0.8808145877,0.9110737613,0.9450310724,1.032469884
Saudi Arabia,4.089589522,3.982744198,3.876355303,3.768478124,3.656578746,3.539422223,3.417493726,3.489031496,3.523857498,3.508113104,2.499646681,2.772021714,3.053829616,3.100757877,3.550388689,3.053804657,3.436022558,3.574507238,3.717571664,3.667098359,3.460388689,3.187296862,3.212732988,3.14495269,2.992648417,3.081106122,3.221488799,2.890159418,2.836947927,3.082711589,2.86291887,2.978179133,3.025930254,3.188343102,3.240166683,3.396804265,3.352720702,3.288043343,3.381980267,3.423536215,3.451934885,3.526032769,3.768907884,3.982363765,4.37164911,4.572267808
Spain,0.4425299533,0.5178602929,0.6206789538,0.6527877612,0.735731585,0.8305574841,0.9043583263,0.9417384289,1.1198571,1.162240166,1.193443938,1.338316657,1.246726378,1.258563612,1.321262828,1.390920216,1.333721918,1.257364971,1.251402966,1.167948422,1.114456676,1.10720498,1.15654162,1.181513152,1.239337687,1.253202756,1.266495263,1.351623272,1.308969702,1.359433735,1.429128192,1.485089339,1.565365062,1.672067872,1.711435932,1.737520005,1.784334932,1.783838723,1.796844895,1.816901452,1.816412005,1.774528614,1.767247811,1.707494783,1.658701358,1.616859122
United States,2.752199035,2.854667071,2.924442078,3.089630374,3.21712463,3.316037351,3.403123637,3.638169862,3.801889062,3.604353027,3.495517045,3.718348147,3.877978126,3.942795224,3.813412098,3.455263712,3.215013785,3.011770082,2.980372697,3.028862409,2.986760715,3.077408266,3.10989309,3.207721803,3.170358475,3.086065326,2.99278353,3.028718303,3.026599495,3.073545876,3.032887968,3.105292419,3.110374906,3.129708662,3.182570371,3.177531759,3.138106756,3.110778848,3.131791065,3.22635885,3.205218824,3.150582247,3.117270453,2.900202094,2.707949097,2.738543683
